Pasture,Patch,Pasture_patch,Year,Pasture_patch_year,FireTreat,HerbTreat,GrazingTreat,Grazing,TSF,TSH
RCH2014,C,RCH2014_C,2015,RCH2014_C_2015,PB,Yes,SLS,Yes,0,0.5
RCH2014,C,RCH2014_C,2016,RCH2014_C_2016,PB,Yes,SLS,Yes,1,1.5
RCH2014,C,RCH2014_C,2017,RCH2014_C_2017,PB,Yes,SLS,Yes,2,2.5
RCH2014,E,RCH2014_E,2014,RCH2014_E_2014,PB,No,SLS,Yes,2,Never
RCH2014,E,RCH2014_E,2015,RCH2014_E_2015,PB,Yes,SLS,Yes,3,Never
RCH2014,E,RCH2014_E,2016,RCH2014_E_2016,PB,Yes,SLS,Yes,0,Never
RCH2014,E,RCH2014_E,2017,RCH2014_E_2017,PB,Yes,SLS,Yes,1,Never
RCH2014,W,RCH2014_W,2014,RCH2014_W_2014,PB,No,SLS,Yes,0,Never
RCH2014,W,RCH2014_W,2015,RCH2014_W_2015,PB,Yes,SLS,Yes,1,0.5
RCH2014,W,RCH2014_W,2016,RCH2014_W_2016,PB,Yes,SLS,Yes,2,1.5
RCH2014,W,RCH2014_W,2017,RCH2014_W_2017,PB,Yes,SLS,Yes,0,2.5
RIN,E,RIN_E,2007,RIN_E_2007,FB,No,None,No,UNK,Never
RIN,E,RIN_E,2008,RIN_E_2008,FB,No,None,No,UNK,Never
RIN,E,RIN_E,2009,RIN_E_2009,FB,No,None,No,0,Never
RIN,E,RIN_E,2010,RIN_E_2010,FB,No,None,No,1,Never
RIN,E,RIN_E,2011,RIN_E_2011,FB,No,None,No,2,Never
RIN,E,RIN_E,2012,RIN_E_2012,FB,No,None,No,0,Never
RIN,E,RIN_E,2013,RIN_E_2013,FB,No,None,No,1,Never
RIN,E,RIN_E,2014,RIN_E_2014,FB,No,None,No,2,Never
RIN,E,RIN_E,2015,RIN_E_2015,FB,No,None,No,3,Never
RIN,E,RIN_E,2016,RIN_E_2016,FB,No,None,No,4,Never
RIN,E,RIN_E,2017,RIN_E_2017,FB,No,None,No,0,Never
RIN,S,RIN_S,2007,RIN_S_2007,FB,No,None,No,UNK,Never
RIN,S,RIN_S,2008,RIN_S_2008,FB,No,None,No,UNK,Never
RIN,S,RIN_S,2009,RIN_S_2009,FB,No,None,No,0,Never
RIN,S,RIN_S,2010,RIN_S_2010,FB,No,None,No,1,Never
RIN,S,RIN_S,2011,RIN_S_2011,FB,No,None,No,2,Never
RIN,S,RIN_S,2012,RIN_S_2012,FB,No,None,No,0,Never
RIN,S,RIN_S,2013,RIN_S_2013,FB,No,None,No,1,Never
RIN,S,RIN_S,2014,RIN_S_2014,FB,No,None,No,2,Never
RIN,S,RIN_S,2015,RIN_S_2015,FB,No,None,No,3,Never
RIN,S,RIN_S,2016,RIN_S_2016,FB,No,None,No,4,Never
RIN,S,RIN_S,2017,RIN_S_2017,FB,No,None,No,0,Never
RIN,W,RIN_W,2007,RIN_W_2007,FB,No,None,No,UNK,Never
RIN,W,RIN_W,2008,RIN_W_2008,FB,No,None,No,UNK,Never
RIN,W,RIN_W,2009,RIN_W_2009,FB,No,None,No,0,Never
RIN,W,RIN_W,2010,RIN_W_2010,FB,No,None,No,1,Never
RIN,W,RIN_W,2011,RIN_W_2011,FB,No,None,No,2,Never
RIN,W,RIN_W,2012,RIN_W_2012,FB,No,None,No,0,Never
RIN,W,RIN_W,2013,RIN_W_2013,FB,No,None,No,1,Never
RIN,W,RIN_W,2014,RIN_W_2014,FB,No,None,No,2,Never
RIN,W,RIN_W,2015,RIN_W_2015,FB,No,None,No,3,Never
RIN,W,RIN_W,2016,RIN_W_2016,FB,No,None,No,4,Never
RIN,W,RIN_W,2017,RIN_W_2017,FB,No,None,No,0,Never
RIS,C,RIS_C,2007,RIS_C_2007,PB,No,SLS,Yes,UNK,Never
RIS,C,RIS_C,2008,RIS_C_2008,PB,No,SLS,Yes,UNK,Never
RIS,C,RIS_C,2009,RIS_C_2009,PB,No,SLS,Yes,0,Never
RIS,C,RIS_C,2010,RIS_C_2010,PB,No,SLS,Yes,1,Never
RIS,C,RIS_C,2011,RIS_C_2011,PB,No,SLS,Yes,2,Never
RIS,C,RIS_C,2012,RIS_C_2012,PB,No,SLS,Yes,0,Never
RIS,C,RIS_C,2013,RIS_C_2013,PB,No,SLS,Yes,1,Never
RIS,C,RIS_C,2014,RIS_C_2014,PB,No,SLS,Yes,2,Never
RIS,C,RIS_C,2015,RIS_C_2015,PB,No,SLS,Yes,0,Never
RIS,C,RIS_C,2016,RIS_C_2016,PB,No,SLS,Yes,1,Never
RIS,C,RIS_C,2017,RIS_C_2017,PB,No,SLS,Yes,2,Never
RIS,N,RIS_N,2007,RIS_N_2007,PB,No,SLS,Yes,UNK,Never
RIS,N,RIS_N,2008,RIS_N_2008,PB,No,SLS,Yes,0,Never
RIS,N,RIS_N,2009,RIS_N_2009,PB,No,SLS,Yes,1,Never
RIS,N,RIS_N,2010,RIS_N_2010,PB,No,SLS,Yes,2,Never
RIS,N,RIS_N,2011,RIS_N_2011,PB,No,SLS,Yes,0,Never
RIS,N,RIS_N,2012,RIS_N_2012,PB,No,SLS,Yes,1,Never
RIS,N,RIS_N,2013,RIS_N_2013,PB,No,SLS,Yes,2,Never
RIS,N,RIS_N,2014,RIS_N_2014,PB,No,SLS,Yes,0,Never
RIS,N,RIS_N,2015,RIS_N_2015,PB,No,SLS,Yes,1,Never
RIS,N,RIS_N,2016,RIS_N_2016,PB,No,SLS,Yes,2,Never
RIS,N,RIS_N,2017,RIS_N_2017,PB,No,SLS,Yes,0,Never
RIS,S,RIS_S,2007,RIS_S_2007,PB,No,SLS,Yes,0,Never
RIS,S,RIS_S,2008,RIS_S_2008,PB,No,SLS,Yes,1,Never
RIS,S,RIS_S,2009,RIS_S_2009,PB,No,SLS,Yes,2,Never
RIS,S,RIS_S,2010,RIS_S_2010,PB,No,SLS,Yes,0,Never
RIS,S,RIS_S,2011,RIS_S_2011,PB,No,SLS,Yes,1,Never
RIS,S,RIS_S,2012,RIS_S_2012,PB,No,SLS,Yes,2,Never
RIS,S,RIS_S,2013,RIS_S_2013,PB,No,SLS,Yes,0,Never
RIS,S,RIS_S,2014,RIS_S_2014,PB,No,SLS,Yes,1,Never
RIS,S,RIS_S,2015,RIS_S_2015,PB,No,SLS,Yes,2,Never
RIS,S,RIS_S,2016,RIS_S_2016,PB,No,SLS,Yes,0,Never
RIS,S,RIS_S,2017,RIS_S_2017,PB,No,SLS,Yes,1,Never
RNR,C,RNR_C,2014,RNR_C_2014,FB,No,None,No,UNK,Never
RNR,C,RNR_C,2015,RNR_C_2015,FB,No,None,No,UNK,Never
RNR,C,RNR_C,2016,RNR_C_2016,FB,No,None,No,0,Never
RNR,C,RNR_C,2017,RNR_C_2017,FB,No,None,No,1,Never
RNR,E,RNR_E,2014,RNR_E_2014,FB,No,None,No,UNK,Never
RNR,E,RNR_E,2015,RNR_E_2015,FB,No,None,No,UNK,Never
RNR,E,RNR_E,2016,RNR_E_2016,FB,No,None,No,0,Never
RNR,E,RNR_E,2017,RNR_E_2017,FB,No,None,No,1,Never
RNR,W,RNR_W,2014,RNR_W_2014,FB,No,None,No,0,Never
RNR,W,RNR_W,2015,RNR_W_2015,FB,No,None,No,1,Never
RNR,W,RNR_W,2016,RNR_W_2016,FB,No,None,No,2,Never
RNR,W,RNR_W,2017,RNR_W_2017,FB,No,None,No,0,Never
STE,N,STE_N,2007,STE_N_2007,FB,No,SLS,Yes,UNK,Never
STE,N,STE_N,2008,STE_N_2008,FB,No,SLS,Yes,UNK,Never
STE,N,STE_N,2009,STE_N_2009,FB,No,SLS,Yes,0,Never
STE,N,STE_N,2010,STE_N_2010,FB,No,SLS,Yes,1,Never
STE,N,STE_N,2011,STE_N_2011,FB,No,SLS,Yes,2,Never
STE,N,STE_N,2012,STE_N_2012,FB,No,SLS,Yes,0,Never
STE,N,STE_N,2013,STE_N_2013,FB,No,SLS,Yes,1,Never
STE,N,STE_N,2014,STE_N_2014,FB,Yes,SLS,Yes,2,Never
STE,N,STE_N,2015,STE_N_2015,FB,No,SLS,Yes,3,Never
STE,N,STE_N,2016,STE_N_2016,FB,Yes,SLS,Yes,4,0.5
STE,N,STE_N,2017,STE_N_2017,FB,Yes,SLS,Yes,0,1.5
STE,S,STE_S,2007,STE_S_2007,FB,No,SLS,Yes,UNK,Never
STE,S,STE_S,2008,STE_S_2008,FB,No,SLS,Yes,UNK,Never
STE,S,STE_S,2009,STE_S_2009,FB,No,SLS,Yes,0,Never
STE,S,STE_S,2010,STE_S_2010,FB,No,SLS,Yes,1,Never
STE,S,STE_S,2011,STE_S_2011,FB,No,SLS,Yes,2,Never
STE,S,STE_S,2012,STE_S_2012,FB,No,SLS,Yes,0,Never
STE,S,STE_S,2013,STE_S_2013,FB,No,SLS,Yes,1,Never
STE,S,STE_S,2014,STE_S_2014,FB,Yes,SLS,Yes,2,Never
STE,S,STE_S,2015,STE_S_2015,FB,No,SLS,Yes,3,Never
STE,S,STE_S,2016,STE_S_2016,FB,Yes,SLS,Yes,4,0.5
STE,S,STE_S,2017,STE_S_2017,FB,Yes,SLS,Yes,0,1.5
STE,W,STE_W,2007,STE_W_2007,FB,No,SLS,Yes,UNK,Never
STE,W,STE_W,2008,STE_W_2008,FB,No,SLS,Yes,UNK,Never
STE,W,STE_W,2009,STE_W_2009,FB,No,SLS,Yes,0,Never
STE,W,STE_W,2010,STE_W_2010,FB,No,SLS,Yes,1,Never
STE,W,STE_W,2011,STE_W_2011,FB,No,SLS,Yes,2,Never
STE,W,STE_W,2012,STE_W_2012,FB,No,SLS,Yes,0,Never
STE,W,STE_W,2013,STE_W_2013,FB,No,SLS,Yes,1,Never
STE,W,STE_W,2014,STE_W_2014,FB,Yes,SLS,Yes,2,Never
STE,W,STE_W,2015,STE_W_2015,FB,No,SLS,Yes,3,Never
STE,W,STE_W,2016,STE_W_2016,FB,Yes,SLS,Yes,4,Never
STE,W,STE_W,2017,STE_W_2017,FB,Yes,SLS,Yes,0,Never
